Split,Metric,Logistic Regression,Naive Bayes,Difference
Train,accuracy,0.6626279349789284,0.6572847682119205,0.005343166767007856
Train,precision,0.7448892674616695,0.7185357651015393,0.026353502360130232
Train,recall,0.6614143451405521,0.7002395058615908,-0.0388251607210387
Train,f1,0.7006743673632904,0.7092696629213483,-0.008595295558057936
Train,roc_auc,0.7239657104910959,0.705377906446414,0.018587804044681966
Train,log_loss,0.6122425813954626,0.6969184208503659,-0.08467583945490331
Validation,accuracy,0.6416040100250626,0.6361737677527152,0.005430242272347452
Validation,precision,0.6814449917898193,0.6576047024246877,0.023840289365131606
Validation,recall,0.6384615384615384,0.6884615384615385,-0.050000000000000044
Validation,f1,0.659253375694996,0.6726794438181135,-0.01342606812311753
Validation,roc_auc,0.6924982421600336,0.6814565461960342,0.011041695963999398
Validation,log_loss,0.6441349340715002,0.7416457537001342,-0.09751081962863395
Test,accuracy,0.6006637168141593,0.5973451327433629,0.0033185840707964376
Test,precision,0.6546184738955824,0.6421845574387948,0.012433916456787597
Test,recall,0.6330097087378641,0.6621359223300971,-0.029126213592232997
Test,f1,0.6436327739387957,0.6520076481835564,-0.008374874244760688
Test,roc_auc,0.6599346095290388,0.6419921631267625,0.01794244640227627
Test,log_loss,0.6518298365631947,0.7465473688125852,-0.0947175322493905
